ID,TAG,CATEGORY,RANKING,SIMILAR
1,safe,meta,2171400,
2,g4,copyright,2026009,
3,female,general,1799383,
4,pony,species,1599517,
5,solo,general,1423638,
6,oc,character,945936,
7,mare,general,738848,
8,oc_only,character,686595,
9,clothes,general,633060,
10,simple_background,general,594535,
11,male,general,549714,
12,unicorn,species,536633,
13,nudity,general,511636,
14,pegasus,species,495220,
15,explicit,meta,470829,
16,earth_pony,species,445014,
17,high_res,general,407622,
18,smiling,general,396384,
19,breasts,general,390173,
20,anthro,general,358967,
21,twilight_sparkle,character,357238,
22,alicorn,species,313486,
23,screencap,meta,295553,
24,transparent_background,general,283930,
25,rainbow_dash,character,279497,
26,blushing,general,273437,
27,cute,general,265372,
28,looking_at_you,general,258592,
29,fluttershy,character,258223,
30,equestria_girls,copyright,255513,
31,pinkie_pie,character,255438,
32,shipping,general,253786,
33,human,species,244791,
34,nipples,general,242038,
35,open_mouth,general,236869,
36,solo_female,general,234112,
37,butt,general,230735,
38,wings,general,222123,
39,rarity,character,217268,
40,penis,general,212964,
41,applejack,character,200160,
42,stallion,general,195181,
43,suggestive,meta,190458,
44,vulva,general,189965,
45,horn,general,188935,
46,straight,general,178775,
47,monochrome,general,174643,
48,edit,meta,172814,
49,sex,general,171235,
50,duo,general,169111,
51,white_background,general,160997,
52,twilight_sparkle_(alicorn),general,148950,
53,tongue_out,general,146856,
54,plot,general,143784,
55,traditional_art,general,142815,
56,eyes_closed,general,138703,
57,anus,general,137245,
58,comic,general,135213,
59,animated,general,125789,
60,big_breasts,general,125441,
61,hat,general,123953,
62,3d,general,122380,
63,questionable,meta,121023,
64,humanized,general,119339,
65,lesbian,general,117498,
66,princess_luna,character,117053,
67,commission,general,116983,
68,jewelry,general,112645,
69,princess_celestia,character,112561,
70,belly_button,general,110339,
71,balls,general,109446,
72,cum,general,105208,
73,food,general,101085,
74,tail,general,99998,
75,horsecock,general,99111,
76,filly,general,97189,
77,photo,general,96540,
78,magic,general,96456,
79,socks,general,95253,
80,spread_wings,general,94140,
81,meme,general,93810,
82,dialogue,general,92517,
83,spike,character,92313,
84,sitting,general,92127,
85,edited_screencap,meta,90367,
86,vector,general,89816,
87,text,general,89342,
88,glasses,general,88497,
89,penetration,general,88228,
90,looking_back,general,86336,
91,alternate_version,meta,86323,
92,dragon,species,85271,
93,irl,general,83496,
94,sketch,general,82456,
95,bedroom_eyes,general,82025,
96,ass,general,81258,
97,trixie,character,79478,
98,sunset_shimmer,character,79022,
99,underwear,general,78674,
100,bust,general,77649,
101,heart,general,76125,
102,g5,copyright,75168,
103,bat_pony,species,74749,
104,crossover,general,73050,
105,floppy_ears,general,72826,
106,dock,general,71115,
107,raised_hoof,general,69668,
108,underhoof,general,68803,
109,source_filmmaker,general,67722,
110,absurd_resolution,general,67426,
111,changeling,species,65836,
112,chest_fluff,general,65253,
113,unguligrade_anthro,general,65191,
114,oral,general,65173,
115,intersex,general,64038,
116,ponut,general,63971,
117,piercing,general,63793,
118,panties,general,63649,
119,grin,general,62861,
120,dress,general,61867,
121,futa,general,61634,
122,cropped,general,61175,
123,apple_bloom,character,59927,
124,starlight_glimmer,character,59902,
125,thigh_highs,general,59310,
126,shoes,general,59223,
127,scootaloo,character,58700,
128,huge_breasts,general,58128,
129,bed,general,57650,
130,derpy_hooves,character,57461,
131,vaginal,general,57322,
132,fetish,general,56972,
133,sweetie_belle,character,56670,
134,skirt,general,55413,
135,crying,general,55358,
136,flying,general,54898,
137,vagina,general,54673,
138,feet,general,54386,
139,vaginal_secretions,general,53148,
140,offscreen_character,general,52146,
141,cutie_mark,general,51362,
142,plantigrade_anthro,general,51252,
143,ponified,general,50706,
144,ear_fluff,general,50451,
145,offspring,general,50107,
146,bipedal,general,49416,
147,tree,general,49176,
148,grayscale,general,48942,
149,gif,general,48632,
150,stockings,general,48367,
151,lidded_eyes,general,47846,
152,collar,general,47796,
153,armpits,general,46912,
154,cleavage,general,46587,
155,unshorn_fetlocks,general,46511,
156,lying_down,general,46459,
157,bondage,general,46436,
158,dead_source,general,46157,
159,sexy,general,45899,
160,one_eye_closed,general,45615,
161,creampie,general,44985,
162,bow,general,44518,
163,happy,general,44420,
164,foal,general,44007,
165,freckles,general,43730,
166,signature,general,43730,
167,belly,general,43617,
168,ear_piercing,general,43585,
169,book,general,43481,
170,cloud,general,43120,
171,queen_chrysalis,character,42127,
172,blowjob,general,41848,
173,clitoris,general,41608,
174,portrait,general,41582,
175,weapon,general,41175,
176,equestria_girls_series,copyright,40522,
177,sweat,general,40451,
178,derpibooru_exclusive,meta,40436,
179,shirt,general,40277,
180,image_macro,general,40211,
181,makeup,general,40195,
182,wingding_eyes,general,40135,
183,princess_cadance,character,39991,
184,fangs,general,39976,
185,older,general,39902,
186,flower,general,39329,
187,costume,general,39067,
188,swimsuit,general,39053,
189,speech_bubble,general,39027,
190,telekinesis,general,38977,
191,alternate_hairstyle,general,37824,
192,night,general,37749,
193,mane_six,general,37540,
194,hug,general,37536,
195,discord,character,37521,
196,gay,general,37157,
197,ych_result,general,37154,
198,anal,general,36857,
199,anthro_oc,general,36793,
200,griffon,species,36659,
201,angry,general,36592,
202,alicorn_oc,general,36425,
203,original_species,species,36419,
